State,Year,Type,GEO_ID,Geography_Name,County,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,ACS_Source,Chapter,Region,Division,ECODE,RCODE,DCODE,FEMA_Region
Alabama,2023,Place,120955,"Dodge City town, Alabama","Cullman County, Alabama",227,43,67,117,5-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
Alabama,2023,Place,121136,"Dora city, Alabama","Walker County, Alabama",865,152,198,515,5-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
Alabama,2023,Place,121280,"Double Springs town, Alabama","Winston County, Alabama",451,153,120,178,5-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
Alabama,2023,Place,121328,"Douglas town, Alabama","Marshall County, Alabama",359,66,113,180,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,121448,"Dozier town, Alabama","Crenshaw County, Alabama",146,44,37,65,5-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,121890,"Dunnavant CDP, Alabama","Shelby County, Alabama",465,67,152,246,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,121952,"Dutton town, Alabama","Jackson County, Alabama",154,27,32,95,5-Year,ARC serving North Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1192.0,01R04,D25,IV
Alabama,2023,Place,122088,"Eagle Point CDP, Alabama","Shelby County, Alabama",979,31,146,802,5-Year,ARC serving Mid Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1019.0,01R04,D25,IV
Alabama,2023,Place,122216,"East Brewton city, Alabama","Escambia County, Alabama",967,310,353,304,5-Year,ARC serving South Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1208.0,01R04,D25,IV
Alabama,2023,Place,122504,"East Point CDP, Alabama","Cullman County, Alabama",108,0,6,102,5-Year,ARC serving Central West Alabama,Alabama and Mississippi Region,Southeast and Caribbean Division,1288.0,01R04,D25,IV
